Job_Title,Company,Date_Posted,Salary_USD,Location_City,Location_Country,Work_Type,Experience_Level,Primary_Skill,Secondary_Skill,Remote_Allowed
Data Scientist,TechNova,2024-06-14,114337,London,UK,Hybrid,Mid,RAG,Transformers,True
AI Research Scientist,TechNova,2025-12-13,83028,Bangalore,India,Remote,Senior,LLM Fine-tuning,NLP,True
AI Ethicist,BotWorks,2024-11-19,132566,Toronto,Canada,Hybrid,Senior,TensorFlow,MLOps,True
ML Engineer,SaaSify,2024-12-02,133538,Berlin,Germany,Hybrid,Senior,TensorFlow,SQL,True
Prompt Engineer,OpenAI Systems,2024-07-19,63113,Bangalore,India,Onsite,Mid,Python,RAG,False
Prompt Engineer,BotWorks,2025-12-20,73773,Berlin,Germany,Remote,Junior,Azure AI,MLOps,True
Chief AI Officer,BotWorks,2025-07-30,81082,Toronto,Canada,Hybrid,Junior,SQL,Azure AI,True
Data Scientist,GlobalTrust,2023-12-27,136846,Toronto,Canada,Hybrid,Senior,LLM Fine-tuning,RAG,True
NLP Engineer,GlobalTrust,2023-03-16,125613,London,UK,Hybrid,Mid,MLOps,NLP,True
Prompt Engineer,BotWorks,2025-01-23,106469,Toronto,Canada,Hybrid,Mid,TensorFlow,LLM Fine-tuning,True
GenAI Specialist,OpenAI Systems,2024-03-11,281801,Berlin,Germany,Hybrid,Executive,Azure AI,MLOps,True
Data Scientist,BotWorks,2025-06-15,143633,Toronto,Canada,Onsite,Senior,Transformers,MLOps,False
Chief AI Officer,SaaSify,2024-03-11,95052,Bangalore,India,Hybrid,Lead,Transformers,SQL,True
ML Engineer,OpenAI Systems,2023-11-11,110538,London,UK,Hybrid,Mid,Python,Transformers,True
AI Research Scientist,SaaSify,2023-10-30,178670,Toronto,Canada,Hybrid,Lead,Azure AI,MLOps,True
NLP Engineer,SaaSify,2023-02-11,65815,Bangalore,India,Hybrid,Mid,LLM Fine-tuning,TensorFlow,True
NLP Engineer,GlobalTrust,2023-07-13,186090,Berlin,Germany,Hybrid,Lead,Python,NLP,True
GenAI Specialist,GlobalTrust,2024-04-29,83362,Bangalore,India,Onsite,Senior,SQL,NLP,False
Prompt Engineer,SaaSify,2023-07-18,131180,Toronto,Canada,Remote,Senior,Azure AI,Python,True
NLP Engineer,SaaSify,2025-09-30,127678,Berlin,Germany,Onsite,Senior,Python,TensorFlow,False
Prompt Engineer,SaaSify,2024-06-24,82879,Bangalore,India,Onsite,Senior,Transformers,SQL,False
Prompt Engineer,BotWorks,2023-05-30,86468,Bangalore,India,Hybrid,Senior,NLP,RAG,True
Data Scientist,BotWorks,2025-06-07,60292,Bangalore,India,Onsite,Mid,SQL,MLOps,False
Prompt Engineer,SaaSify,2024-12-03,140455,Berlin,Germany,Hybrid,Senior,MLOps,SQL,True
AI Research Scientist,TechNova,2023-10-28,141558,London,UK,Hybrid,Senior,TensorFlow,MLOps,True
AI Ethicist,SaaSify,2023-12-08,96011,Berlin,Germany,Hybrid,Mid,SQL,Transformers,True
AI Ethicist,BotWorks,2025-04-01,206107,San Francisco,USA,Hybrid,Senior,Azure AI,LLM Fine-tuning,True
Data Scientist,NeuralFlow,2024-04-18,173175,Toronto,Canada,Remote,Lead,RAG,Python,True
NLP Engineer,SaaSify,2024-08-16,103918,London,UK,Remote,Mid,LLM Fine-tuning,SQL,True
ML Engineer,NeuralFlow,2024-02-23,105197,Toronto,Canada,Onsite,Mid,Azure AI,TensorFlow,False
Data Scientist,NeuralFlow,2025-05-23,104953,Toronto,Canada,Hybrid,Mid,RAG,Transformers,True
AI Ethicist,OpenAI Systems,2023-01-02,190516,San Francisco,USA,Hybrid,Senior,MLOps,Transformers,True
Prompt Engineer,SaaSify,2024-09-10,138713,London,UK,Hybrid,Senior,Python,NLP,True
AI Research Scientist,OpenAI Systems,2023-03-28,105064,Toronto,Canada,Hybrid,Mid,LLM Fine-tuning,NLP,True
GenAI Specialist,TechNova,2023-02-09,160085,San Francisco,USA,Onsite,Mid,RAG,Transformers,False
AI Ethicist,OpenAI Systems,2023-03-22,80879,Berlin,Germany,Remote,Junior,SQL,NLP,True
GenAI Specialist,GlobalTrust,2025-06-28,58236,Bangalore,India,Hybrid,Mid,Python,SQL,True
AI Ethicist,OpenAI Systems,2023-03-14,60686,Bangalore,India,Onsite,Mid,NLP,TensorFlow,False
Data Scientist,SaaSify,2023-09-30,92996,London,UK,Hybrid,Junior,Python,NLP,True
GenAI Specialist,NeuralFlow,2025-11-07,81050,Bangalore,India,Remote,Senior,MLOps,Transformers,True
Prompt Engineer,BotWorks,2023-01-28,147361,Berlin,Germany,Hybrid,Senior,MLOps,NLP,True
GenAI Specialist,DeepMind,2024-02-05,165435,San Francisco,USA,Remote,Mid,LLM Fine-tuning,SQL,True
AI Ethicist,BotWorks,2023-11-25,102184,Toronto,Canada,Hybrid,Mid,RAG,Python,True
ML Engineer,NeuralFlow,2023-11-02,135342,Berlin,Germany,Hybrid,Senior,Transformers,SQL,True
NLP Engineer,TechNova,2025-02-16,62427,Bangalore,India,Onsite,Mid,MLOps,Azure AI,False
Prompt Engineer,OpenAI Systems,2023-08-11,106679,Berlin,Germany,Hybrid,Mid,NLP,Python,True
NLP Engineer,NeuralFlow,2024-05-27,112749,Berlin,Germany,Remote,Mid,Transformers,SQL,True
Data Scientist,OpenAI Systems,2023-07-31,103309,Toronto,Canada,Hybrid,Mid,NLP,SQL,True
NLP Engineer,TechNova,2024-02-25,189396,London,UK,Hybrid,Lead,Python,NLP,True
ML Engineer,TechNova,2024-12-24,275339,San Francisco,USA,Hybrid,Lead,Transformers,Python,True
AI Research Scientist,NeuralFlow,2023-02-18,94141,London,UK,Hybrid,Junior,RAG,TensorFlow,True
Chief AI Officer,NeuralFlow,2025-11-29,275597,Toronto,Canada,Remote,Executive,Azure AI,TensorFlow,True
GenAI Specialist,SaaSify,2024-07-17,143662,London,UK,Hybrid,Senior,LLM Fine-tuning,MLOps,True
Data Scientist,TechNova,2023-10-06,107090,Toronto,Canada,Hybrid,Mid,TensorFlow,Transformers,True
Chief AI Officer,DeepMind,2025-06-10,60351,Bangalore,India,Hybrid,Mid,MLOps,RAG,True
Chief AI Officer,GlobalTrust,2023-12-01,283273,San Francisco,USA,Remote,Lead,MLOps,RAG,True
GenAI Specialist,GlobalTrust,2025-11-21,115008,San Francisco,USA,Onsite,Junior,Python,MLOps,False
Chief AI Officer,TechNova,2024-02-05,96541,Bangalore,India,Hybrid,Lead,Azure AI,Transformers,True
Data Scientist,DeepMind,2024-01-23,163210,Berlin,Germany,Onsite,Lead,LLM Fine-tuning,Python,False
Chief AI Officer,BotWorks,2023-02-21,259082,San Francisco,USA,Hybrid,Lead,RAG,LLM Fine-tuning,True
Data Scientist,SaaSify,2025-11-24,68298,Bangalore,India,Remote,Mid,RAG,MLOps,True
ML Engineer,BotWorks,2024-10-01,111932,Toronto,Canada,Hybrid,Mid,SQL,RAG,True
Prompt Engineer,OpenAI Systems,2023-12-16,148204,Toronto,Canada,Remote,Senior,Python,NLP,True
NLP Engineer,TechNova,2023-08-31,99655,Toronto,Canada,Onsite,Mid,Transformers,MLOps,False
AI Research Scientist,SaaSify,2025-09-05,120287,London,UK,Remote,Mid,Azure AI,Python,True
AI Ethicist,NeuralFlow,2024-08-17,128182,San Francisco,USA,Hybrid,Junior,NLP,Transformers,True
Data Scientist,DeepMind,2025-09-18,155652,San Francisco,USA,Remote,Mid,Azure AI,LLM Fine-tuning,True
Chief AI Officer,SaaSify,2023-11-18,74056,Berlin,Germany,Hybrid,Junior,NLP,Python,True
Chief AI Officer,BotWorks,2024-08-16,100120,Toronto,Canada,Hybrid,Mid,Python,LLM Fine-tuning,True
Prompt Engineer,GlobalTrust,2024-03-13,73570,Bangalore,India,Onsite,Senior,MLOps,Python,False
NLP Engineer,SaaSify,2025-08-15,113385,Toronto,Canada,Hybrid,Mid,Transformers,MLOps,True
Data Scientist,SaaSify,2024-04-13,56274,Bangalore,India,Remote,Mid,Azure AI,Transformers,True
AI Research Scientist,TechNova,2025-04-23,108143,Toronto,Canada,Hybrid,Mid,NLP,Python,True
ML Engineer,SaaSify,2023-04-21,155879,London,UK,Hybrid,Senior,RAG,TensorFlow,True
AI Ethicist,NeuralFlow,2025-08-20,194631,San Francisco,USA,Remote,Senior,TensorFlow,RAG,True
Chief AI Officer,NeuralFlow,2023-03-12,83460,Toronto,Canada,Hybrid,Junior,Transformers,LLM Fine-tuning,True
NLP Engineer,DeepMind,2024-05-08,112663,Toronto,Canada,Onsite,Mid,RAG,TensorFlow,False
Chief AI Officer,NeuralFlow,2024-03-15,97411,Berlin,Germany,Onsite,Mid,TensorFlow,SQL,False
ML Engineer,TechNova,2025-08-22,151947,San Francisco,USA,Remote,Mid,NLP,Transformers,True
NLP Engineer,TechNova,2023-02-24,74687,Berlin,Germany,Hybrid,Junior,SQL,MLOps,True
NLP Engineer,BotWorks,2025-04-11,96126,Berlin,Germany,Hybrid,Mid,NLP,SQL,True
GenAI Specialist,BotWorks,2025-10-31,44536,Bangalore,India,Hybrid,Junior,TensorFlow,Transformers,True
Chief AI Officer,DeepMind,2024-02-10,275538,San Francisco,USA,Onsite,Lead,TensorFlow,Azure AI,False
AI Ethicist,OpenAI Systems,2023-12-18,161185,San Francisco,USA,Hybrid,Mid,MLOps,Transformers,True
Chief AI Officer,TechNova,2024-10-09,68584,Bangalore,India,Hybrid,Mid,RAG,Transformers,True
Prompt Engineer,BotWorks,2024-10-02,88762,Bangalore,India,Remote,Senior,TensorFlow,Transformers,True
AI Research Scientist,DeepMind,2023-04-12,105242,Toronto,Canada,Remote,Mid,SQL,NLP,True
AI Ethicist,BotWorks,2023-08-12,332762,London,UK,Onsite,Executive,RAG,MLOps,False
NLP Engineer,TechNova,2023-04-17,98791,Toronto,Canada,Onsite,Mid,TensorFlow,Transformers,False
AI Ethicist,TechNova,2024-12-31,107541,Toronto,Canada,Remote,Mid,SQL,NLP,True
Data Scientist,SaaSify,2023-03-24,122495,Berlin,Germany,Hybrid,Senior,TensorFlow,NLP,True
Chief AI Officer,SaaSify,2023-10-13,191256,San Francisco,USA,Hybrid,Senior,LLM Fine-tuning,SQL,True
AI Research Scientist,TechNova,2023-12-03,124730,London,UK,Remote,Mid,SQL,Azure AI,True
AI Ethicist,GlobalTrust,2025-05-24,131193,Toronto,Canada,Onsite,Senior,SQL,TensorFlow,False
AI Ethicist,SaaSify,2023-04-11,147281,San Francisco,USA,Hybrid,Mid,SQL,TensorFlow,True
Prompt Engineer,GlobalTrust,2024-05-19,68196,Bangalore,India,Hybrid,Mid,TensorFlow,MLOps,True
AI Research Scientist,TechNova,2024-07-14,314752,London,UK,Onsite,Executive,NLP,TensorFlow,False
NLP Engineer,OpenAI Systems,2024-09-30,125602,London,UK,Hybrid,Mid,Python,MLOps,True
Chief AI Officer,NeuralFlow,2023-03-11,135555,London,UK,Hybrid,Senior,Python,SQL,True
GenAI Specialist,OpenAI Systems,2023-11-06,85485,Toronto,Canada,Remote,Junior,Python,SQL,True
Data Scientist,OpenAI Systems,2025-10-24,77632,Bangalore,India,Hybrid,Senior,Transformers,Python,True
ML Engineer,SaaSify,2025-02-01,213147,San Francisco,USA,Hybrid,Senior,Python,LLM Fine-tuning,True
Data Scientist,OpenAI Systems,2023-12-21,121064,London,UK,Hybrid,Mid,SQL,TensorFlow,True
Data Scientist,NeuralFlow,2023-05-29,50860,Bangalore,India,Hybrid,Junior,MLOps,Python,True
Chief AI Officer,OpenAI Systems,2023-11-27,89639,London,UK,Remote,Junior,MLOps,NLP,True
ML Engineer,GlobalTrust,2023-11-02,123379,London,UK,Hybrid,Mid,RAG,NLP,True
NLP Engineer,SaaSify,2023-12-22,83626,Bangalore,India,Hybrid,Senior,Python,MLOps,True
NLP Engineer,DeepMind,2023-07-06,99745,Toronto,Canada,Remote,Mid,Python,LLM Fine-tuning,True
AI Ethicist,BotWorks,2023-05-15,168526,San Francisco,USA,Remote,Mid,Transformers,LLM Fine-tuning,True
ML Engineer,GlobalTrust,2023-03-12,133416,Toronto,Canada,Remote,Senior,RAG,MLOps,True
AI Ethicist,TechNova,2023-01-19,103068,London,UK,Hybrid,Mid,LLM Fine-tuning,TensorFlow,True
AI Research Scientist,TechNova,2025-10-01,159756,Bangalore,India,Onsite,Executive,Python,SQL,False
Prompt Engineer,NeuralFlow,2025-10-23,59889,Bangalore,India,Hybrid,Mid,Azure AI,LLM Fine-tuning,True
AI Research Scientist,SaaSify,2024-11-12,104751,London,UK,Onsite,Mid,TensorFlow,NLP,False
AI Research Scientist,DeepMind,2024-02-17,86675,London,UK,Hybrid,Junior,TensorFlow,LLM Fine-tuning,True
AI Research Scientist,DeepMind,2024-10-01,75882,Bangalore,India,Remote,Senior,Azure AI,SQL,True
AI Ethicist,BotWorks,2024-08-07,110652,Berlin,Germany,Remote,Mid,NLP,SQL,True
ML Engineer,OpenAI Systems,2024-04-22,126181,Toronto,Canada,Hybrid,Senior,RAG,MLOps,True
AI Ethicist,TechNova,2025-10-04,168252,Toronto,Canada,Hybrid,Lead,MLOps,TensorFlow,True
AI Ethicist,TechNova,2024-06-28,101337,Berlin,Germany,Hybrid,Mid,MLOps,LLM Fine-tuning,True
AI Research Scientist,SaaSify,2025-08-30,98480,Toronto,Canada,Remote,Mid,LLM Fine-tuning,TensorFlow,True
ML Engineer,NeuralFlow,2023-11-28,112668,Berlin,Germany,Onsite,Mid,NLP,RAG,False
Chief AI Officer,TechNova,2024-06-28,267056,Toronto,Canada,Hybrid,Executive,TensorFlow,LLM Fine-tuning,True
Chief AI Officer,NeuralFlow,2024-12-28,217525,San Francisco,USA,Hybrid,Senior,Python,TensorFlow,True
ML Engineer,DeepMind,2023-06-14,104612,London,UK,Hybrid,Mid,TensorFlow,MLOps,True
Chief AI Officer,SaaSify,2025-09-28,83493,Bangalore,India,Remote,Senior,LLM Fine-tuning,RAG,True
ML Engineer,GlobalTrust,2025-12-27,147455,Toronto,Canada,Hybrid,Senior,MLOps,RAG,True
Chief AI Officer,DeepMind,2023-04-12,87108,Bangalore,India,Hybrid,Senior,RAG,TensorFlow,True
Chief AI Officer,OpenAI Systems,2025-05-06,60874,Bangalore,India,Hybrid,Mid,NLP,RAG,True
Prompt Engineer,NeuralFlow,2023-07-23,147092,London,UK,Hybrid,Senior,NLP,TensorFlow,True
NLP Engineer,SaaSify,2025-01-02,94211,London,UK,Hybrid,Junior,Python,Azure AI,True
Chief AI Officer,BotWorks,2024-01-03,191186,Berlin,Germany,Hybrid,Lead,RAG,SQL,True
AI Ethicist,BotWorks,2025-09-12,149740,London,UK,Onsite,Senior,SQL,Python,False
AI Ethicist,TechNova,2025-10-06,262223,San Francisco,USA,Hybrid,Lead,SQL,Python,True
AI Research Scientist,NeuralFlow,2025-08-29,79528,Bangalore,India,Hybrid,Senior,Transformers,RAG,True
Prompt Engineer,GlobalTrust,2023-07-12,106319,Berlin,Germany,Remote,Mid,Azure AI,SQL,True
NLP Engineer,TechNova,2025-12-20,126380,San Francisco,USA,Onsite,Junior,TensorFlow,RAG,False
Prompt Engineer,DeepMind,2025-02-15,107839,London,UK,Onsite,Mid,TensorFlow,Transformers,False
ML Engineer,BotWorks,2023-04-10,116564,London,UK,Remote,Mid,SQL,TensorFlow,True
NLP Engineer,BotWorks,2025-02-28,124934,Toronto,Canada,Remote,Senior,RAG,Transformers,True
Prompt Engineer,GlobalTrust,2025-12-07,146088,Berlin,Germany,Hybrid,Senior,Python,LLM Fine-tuning,True
AI Research Scientist,OpenAI Systems,2024-11-22,56452,Bangalore,India,Onsite,Mid,Azure AI,LLM Fine-tuning,False
ML Engineer,BotWorks,2023-09-23,106158,Berlin,Germany,Onsite,Mid,Transformers,LLM Fine-tuning,False
GenAI Specialist,TechNova,2023-09-15,44916,Bangalore,India,Remote,Junior,NLP,Python,True
Prompt Engineer,OpenAI Systems,2024-11-22,63805,Bangalore,India,Hybrid,Mid,RAG,SQL,True
NLP Engineer,GlobalTrust,2023-07-19,56687,Bangalore,India,Hybrid,Mid,NLP,Transformers,True
ML Engineer,TechNova,2023-07-30,170090,Toronto,Canada,Onsite,Lead,MLOps,LLM Fine-tuning,False
Data Scientist,DeepMind,2023-06-06,82874,Toronto,Canada,Onsite,Junior,Azure AI,NLP,False
GenAI Specialist,NeuralFlow,2024-03-13,77509,Berlin,Germany,Hybrid,Junior,Azure AI,TensorFlow,True
ML Engineer,BotWorks,2024-01-07,67861,Bangalore,India,Hybrid,Mid,TensorFlow,Transformers,True
NLP Engineer,TechNova,2023-05-24,155295,London,UK,Onsite,Senior,Azure AI,RAG,False
AI Ethicist,NeuralFlow,2024-07-24,85971,London,UK,Hybrid,Junior,Python,Azure AI,True
AI Ethicist,DeepMind,2024-09-10,109204,London,UK,Onsite,Mid,Python,RAG,False
Data Scientist,GlobalTrust,2025-01-04,137017,Berlin,Germany,Onsite,Senior,MLOps,LLM Fine-tuning,False
Prompt Engineer,NeuralFlow,2024-03-24,75103,Berlin,Germany,Onsite,Junior,TensorFlow,MLOps,False
ML Engineer,TechNova,2023-03-09,111802,Berlin,Germany,Onsite,Mid,LLM Fine-tuning,SQL,False
Prompt Engineer,OpenAI Systems,2023-05-18,160576,San Francisco,USA,Hybrid,Mid,SQL,NLP,True
Prompt Engineer,NeuralFlow,2025-12-12,207140,San Francisco,USA,Onsite,Senior,TensorFlow,Azure AI,False
ML Engineer,OpenAI Systems,2024-06-05,75156,Toronto,Canada,Hybrid,Junior,MLOps,Azure AI,True
AI Research Scientist,DeepMind,2024-08-16,201552,London,UK,Hybrid,Lead,NLP,RAG,True
Data Scientist,TechNova,2025-07-27,121766,London,UK,Onsite,Mid,SQL,TensorFlow,False
Prompt Engineer,DeepMind,2023-03-29,90212,London,UK,Hybrid,Junior,SQL,MLOps,True
AI Research Scientist,DeepMind,2023-01-02,129625,Berlin,Germany,Hybrid,Senior,MLOps,TensorFlow,True
ML Engineer,OpenAI Systems,2025-10-19,125083,Berlin,Germany,Onsite,Senior,MLOps,NLP,False
GenAI Specialist,BotWorks,2025-10-12,112581,Toronto,Canada,Onsite,Mid,NLP,LLM Fine-tuning,False
Chief AI Officer,BotWorks,2023-04-19,131796,Toronto,Canada,Hybrid,Senior,Python,LLM Fine-tuning,True
GenAI Specialist,BotWorks,2023-05-28,191030,San Francisco,USA,Hybrid,Senior,SQL,Azure AI,True
ML Engineer,TechNova,2024-04-15,111362,Berlin,Germany,Remote,Mid,Python,SQL,True
Chief AI Officer,GlobalTrust,2024-03-22,145908,London,UK,Hybrid,Senior,LLM Fine-tuning,SQL,True
Chief AI Officer,NeuralFlow,2025-07-30,136690,Berlin,Germany,Remote,Senior,TensorFlow,LLM Fine-tuning,True
Data Scientist,TechNova,2023-07-21,145050,Toronto,Canada,Onsite,Senior,LLM Fine-tuning,NLP,False
GenAI Specialist,BotWorks,2025-05-05,107417,Toronto,Canada,Hybrid,Mid,MLOps,TensorFlow,True
Prompt Engineer,SaaSify,2023-05-19,67083,Bangalore,India,Remote,Mid,MLOps,LLM Fine-tuning,True
ML Engineer,BotWorks,2024-11-03,97385,Berlin,Germany,Hybrid,Mid,RAG,TensorFlow,True
Prompt Engineer,BotWorks,2025-07-20,183123,Berlin,Germany,Hybrid,Lead,Transformers,MLOps,True
AI Ethicist,TechNova,2025-06-19,191760,San Francisco,USA,Remote,Senior,Azure AI,Python,True
Chief AI Officer,SaaSify,2023-10-20,60557,Bangalore,India,Remote,Mid,NLP,Azure AI,True
Prompt Engineer,BotWorks,2023-04-05,62386,Bangalore,India,Hybrid,Mid,Transformers,LLM Fine-tuning,True
ML Engineer,TechNova,2024-02-24,198572,San Francisco,USA,Remote,Senior,MLOps,Transformers,True
NLP Engineer,OpenAI Systems,2023-03-09,142810,Berlin,Germany,Remote,Senior,RAG,LLM Fine-tuning,True
NLP Engineer,SaaSify,2025-12-22,76990,Berlin,Germany,Hybrid,Junior,MLOps,SQL,True
ML Engineer,OpenAI Systems,2023-07-21,83979,Bangalore,India,Hybrid,Senior,Python,NLP,True
NLP Engineer,DeepMind,2024-07-21,75005,Berlin,Germany,Onsite,Junior,Transformers,LLM Fine-tuning,False
Prompt Engineer,BotWorks,2023-04-01,144988,Berlin,Germany,Onsite,Senior,Transformers,MLOps,False
AI Ethicist,OpenAI Systems,2024-08-09,66386,Bangalore,India,Hybrid,Mid,RAG,NLP,True
Prompt Engineer,GlobalTrust,2025-12-16,101263,Toronto,Canada,Remote,Mid,MLOps,SQL,True
Chief AI Officer,TechNova,2024-06-17,184559,San Francisco,USA,Remote,Senior,LLM Fine-tuning,SQL,True
GenAI Specialist,NeuralFlow,2025-09-06,116418,San Francisco,USA,Remote,Junior,Azure AI,RAG,True
AI Ethicist,BotWorks,2025-06-26,106166,London,UK,Remote,Mid,TensorFlow,Azure AI,True
GenAI Specialist,TechNova,2025-01-06,81753,Bangalore,India,Hybrid,Senior,LLM Fine-tuning,MLOps,True
Data Scientist,NeuralFlow,2024-01-09,196261,San Francisco,USA,Remote,Senior,Transformers,MLOps,True
ML Engineer,OpenAI Systems,2024-03-03,123959,Berlin,Germany,Hybrid,Senior,Transformers,LLM Fine-tuning,True
Data Scientist,TechNova,2024-08-04,86761,London,UK,Hybrid,Junior,RAG,TensorFlow,True
NLP Engineer,SaaSify,2025-04-23,147848,San Francisco,USA,Remote,Mid,Azure AI,TensorFlow,True
Data Scientist,TechNova,2025-06-15,114636,Bangalore,India,Hybrid,Lead,RAG,Azure AI,True
Chief AI Officer,NeuralFlow,2023-07-30,413336,San Francisco,USA,Hybrid,Executive,NLP,RAG,True
GenAI Specialist,OpenAI Systems,2025-10-21,82418,London,UK,Hybrid,Junior,Python,TensorFlow,True
AI Ethicist,SaaSify,2023-03-27,103301,Toronto,Canada,Hybrid,Mid,Azure AI,TensorFlow,True
Data Scientist,SaaSify,2025-04-29,143243,London,UK,Onsite,Senior,Python,NLP,False
Chief AI Officer,NeuralFlow,2025-12-08,112193,San Francisco,USA,Onsite,Junior,MLOps,NLP,False
AI Research Scientist,BotWorks,2024-02-05,108350,Berlin,Germany,Hybrid,Mid,RAG,TensorFlow,True
GenAI Specialist,OpenAI Systems,2025-06-08,125829,Berlin,Germany,Remote,Senior,SQL,NLP,True
Prompt Engineer,OpenAI Systems,2025-08-15,47037,Bangalore,India,Hybrid,Junior,Azure AI,SQL,True
AI Research Scientist,GlobalTrust,2025-06-13,65841,Bangalore,India,Hybrid,Mid,Transformers,LLM Fine-tuning,True
Chief AI Officer,DeepMind,2023-03-21,141020,Toronto,Canada,Onsite,Senior,Transformers,NLP,False
ML Engineer,DeepMind,2023-04-27,159666,San Francisco,USA,Hybrid,Mid,Python,Transformers,True
Data Scientist,NeuralFlow,2025-03-23,131941,Berlin,Germany,Onsite,Senior,NLP,MLOps,False
